customer_id,first_name,last_name,gender,date_of_birth,email,phone_number,city,state,region,postal_code,join_date,membership_tier,acquisition_channel,preferred_channel,customer_status,loyalty_points,annual_income,household_size
1,Rayaan,Dhawan,Male,2002-12-23,rayaan.dhawan552@gmail.com,00970907359,Lucknow,Uttar Pradesh,North,194706,2022-08-28,Bronze,App Install,Both,Inactive,247,418158,7
2,Eshana,Konda,Female,1973-05-13,eshana.konda567@gmail.com,02821289235,Delhi,Delhi,North,548489,2026-02-05,Silver,Referral,Online,Inactive,761,1932505,6
3,Aarna,Mammen,Female,1971-06-03,aarna.mammen263@gmail.com,+916423546096,Pune,Maharashtra,West,075264,2025-03-04,Silver,Email,Store,Active,510,558646,6
4,Sneha,Sachdev,Female,1989-07-30,sneha.sachdev542@gmail.com,05812873385,Jaipur,Rajasthan,North,427048,2022-07-31,Silver,Google Ads,Both,Inactive,1553,1961920,2
5,Frederick,Rastogi,Male,1979-03-04,frederick.rastogi349@gmail.com,+911039210732,Delhi,Delhi,North,120848,2022-07-01,Bronze,Organic Search,Both,Active,170,2013778,4
6,Finn,Pant,Male,2001-07-18,finn.pant165@gmail.com,3248836252,Ahmedabad,Gujarat,West,306084,2026-06-19,Bronze,Organic Search,Both,Active,457,1498803,6
7,Ayush,Sarna,Male,1997-03-18,ayush.sarna972@gmail.com,08309266418,Bengaluru,Karnataka,South,813418,2023-06-24,Silver,Organic Search,Store,Active,1739,2130020,6
8,Abeer,Tandon,Male,1958-03-26,abeer.tandon583@gmail.com,3443437372,Bengaluru,Karnataka,South,489757,2026-03-30,Gold,Meta Ads,Both,Active,2377,2285804,2
9,Jagrati,Ramaswamy,Female,1967-12-08,jagrati.ramaswamy767@gmail.com,9471582800,Bengaluru,Karnataka,South,552414,2024-09-17,Gold,Referral,Store,Active,4464,2280280,1
10,Pooja,Ravi,Female,1956-03-14,pooja.ravi784@gmail.com,+914884573712,Bengaluru,Karnataka,South,167469,2024-11-04,Gold,Google Ads,Online,Active,4289,524154,5
11,Hemani,Comar,Female,1984-08-07,hemani.comar181@gmail.com,01411466991,Kolkata,West Bengal,East,683224,2022-03-02,Gold,Google Ads,Store,Active,2760,1172765,2
12,Yashica,Raja,Female,1982-09-04,yashica.raja387@gmail.com,+911827188843,Jaipur,Rajasthan,North,670241,2023-01-29,Silver,Email,Both,Active,1386,1050873,2
13,Onkar,Nagarajan,Male,1957-08-19,onkar.nagarajan480@gmail.com,+912920594347,Pune,Maharashtra,West,137789,2026-05-12,Silver,Organic Search,Store,Active,1930,1819749,4
14,Amol,Bora,Male,2003-06-19,amol.bora568@gmail.com,0378730300,Pune,Maharashtra,West,213827,2025-07-03,Bronze,Google Ads,Store,Active,217,1012586,5
15,Chameli,Manda,Female,1956-04-08,chameli.manda838@gmail.com,3435928711,Kolkata,West Bengal,East,353731,2024-03-13,Bronze,Google Ads,Store,Active,247,815065,5
16,Irya,Rama,Female,1996-06-23,irya.rama905@gmail.com,3684233016,Lucknow,Uttar Pradesh,North,829320,2022-07-11,Bronze,Organic Search,Online,Active,57,2166152,1
17,Dipta,Ramanathan,Female,1958-12-21,dipta.ramanathan447@gmail.com,+916205426915,Jaipur,Rajasthan,North,956463,2022-04-26,Bronze,Referral,Both,Active,73,1066060,1
18,Netra,Dugal,Female,1962-11-29,netra.dugal509@gmail.com,+913945306506,Bengaluru,Karnataka,South,821593,2021-07-24,Bronze,Organic Search,Both,Active,499,1799038,6
19,Reyansh,Varughese,Male,1980-03-01,reyansh.varughese215@gmail.com,01030785464,Lucknow,Uttar Pradesh,North,916071,2024-06-06,Silver,Google Ads,Store,Active,1757,1921649,2
20,Amruta,Kalita,Female,1960-01-14,amruta.kalita516@gmail.com,+911165559261,Kolkata,West Bengal,East,711326,2021-08-16,Bronze,App Install,Online,Active,397,1244502,7
21,Vritti,Bala,Female,1985-02-06,vritti.bala859@gmail.com,00020027583,Bengaluru,Karnataka,South,996109,2024-04-04,Bronze,App Install,Both,Inactive,329,487335,2
22,Aarnav,Aggarwal,Male,1956-03-27,aarnav.aggarwal284@gmail.com,+919376868175,Chennai,Tamil Nadu,South,723458,2023-06-26,Gold,Google Ads,Online,Active,2376,2459026,3
23,Benjamin,Raghavan,Male,1994-01-11,benjamin.raghavan302@gmail.com,06143321647,Delhi,Delhi,North,577287,2023-09-04,Bronze,Meta Ads,Online,Active,381,2290532,2
24,Dalaja,Balakrishnan,Female,1993-06-01,dalaja.balakrishnan306@gmail.com,+913530949177,Delhi,Delhi,North,186247,2025-03-01,Bronze,Meta Ads,Online,Active,427,2369308,7
25,Ojas,Rajagopalan,Male,1959-09-06,ojas.rajagopalan820@gmail.com,+912871707591,Jaipur,Rajasthan,North,872503,2022-09-30,Bronze,Google Ads,Store,Active,124,522970,3
26,Ekaja,Deol,Female,1955-08-03,ekaja.deol277@gmail.com,08324591547,Chennai,Tamil Nadu,South,453954,2022-05-15,Bronze,Meta Ads,Online,Active,403,2486715,4
27,Faras,Chauhan,Male,1959-11-22,faras.chauhan232@gmail.com,+918132664247,Ahmedabad,Gujarat,West,829647,2022-04-30,Silver,Organic Search,Online,Active,915,1971202,3
28,Adya,Chahal,Female,1964-06-29,adya.chahal605@gmail.com,+913215698317,Delhi,Delhi,North,875979,2024-04-27,Bronze,App Install,Store,Active,111,676751,3
29,Nidra,Tella,Female,1999-04-28,nidra.tella379@gmail.com,5181362637,Delhi,Delhi,North,454996,2022-04-07,Silver,Referral,Both,Active,1785,1524425,2
30,Aarna,Johal,Female,1967-10-25,aarna.johal633@gmail.com,08397867384,Bengaluru,Karnataka,South,965118,2026-01-22,Gold,Email,Store,Active,2710,1015627,4
31,Gauri,Desai,Female,1982-03-09,gauri.desai289@gmail.com,8913595257,Hyderabad,Telangana,South,310653,2022-05-26,Gold,Organic Search,Store,Active,5310,1716612,6
32,Baljiwan,Agate,Male,2004-02-15,baljiwan.agate858@gmail.com,+918171586056,Jaipur,Rajasthan,North,213343,2025-01-11,Silver,Email,Store,Active,1997,2132245,1
33,Gopal,Pillai,Male,2000-05-25,gopal.pillai540@gmail.com,+911941531293,Lucknow,Uttar Pradesh,North,461729,2024-11-29,Bronze,Email,Online,Active,128,251936,4
34,Samar,Narayanan,Male,1985-04-14,samar.narayanan807@gmail.com,02827278081,Lucknow,Uttar Pradesh,North,426455,2025-02-10,Bronze,App Install,Store,Active,117,1724264,4
35,Kai,Ramesh,Male,1984-01-10,kai.ramesh709@gmail.com,4840241633,Mumbai,Maharashtra,West,099536,2026-05-19,Silver,Google Ads,Online,Active,543,1362831,3
36,Hemal,Tandon,Female,1961-04-20,hemal.tandon490@gmail.com,+916011132082,Chennai,Tamil Nadu,South,446801,2021-10-29,Bronze,Email,Store,Active,230,1494743,1
37,Hardik,Sarraf,Male,1996-05-01,hardik.sarraf107@gmail.com,05439754096,Pune,Maharashtra,West,309314,2025-05-09,Silver,Google Ads,Store,Active,519,1295414,7
38,Madhavi,Dugar,Female,1976-08-27,madhavi.dugar912@gmail.com,2331814090,Pune,Maharashtra,West,797334,2022-07-25,Bronze,Organic Search,Online,Active,342,2027479,4
39,Henry,Sarkar,Male,1975-01-30,henry.sarkar395@gmail.com,3143841339,Kolkata,West Bengal,East,487200,2024-03-20,Gold,Organic Search,Store,Active,5038,677389,3
40,Anya,Lall,Female,1963-09-17,anya.lall745@gmail.com,+914059559132,Chennai,Tamil Nadu,South,582562,2022-01-11,Silver,Organic Search,Online,Active,1282,517441,2
41,Reyansh,Cheema,Male,1993-07-14,reyansh.cheema827@gmail.com,08258109048,Lucknow,Uttar Pradesh,North,848396,2023-12-18,Gold,App Install,Store,Active,3420,1108841,5
42,Varsha,Sibal,Female,1964-07-17,varsha.sibal680@gmail.com,09228202384,Pune,Maharashtra,West,901178,2022-08-17,Gold,Referral,Store,Active,3368,1456208,6
43,Hemal,Randhawa,Female,1977-04-10,hemal.randhawa745@gmail.com,03556989935,Mumbai,Maharashtra,West,980809,2024-06-24,Gold,App Install,Store,Active,2772,2460969,1
44,Chaitanya,Chaudhari,Male,1993-07-08,chaitanya.chaudhari644@gmail.com,03162195897,Bengaluru,Karnataka,South,965277,2025-11-12,Silver,Meta Ads,Both,Active,1763,228301,1
45,Ansh,Rajagopal,Male,1969-01-10,ansh.rajagopal635@gmail.com,3619775878,Delhi,Delhi,North,486585,2024-03-24,Silver,App Install,Both,Active,1092,1732344,7
46,Tanvi,Bath,Female,1985-01-12,tanvi.bath469@gmail.com,+914374783581,Ahmedabad,Gujarat,West,955343,2023-02-05,Bronze,Organic Search,Store,Active,135,2156489,2
47,Ekani,Golla,Female,1994-11-20,ekani.golla316@gmail.com,1363697429,Hyderabad,Telangana,South,146397,2026-01-14,Silver,App Install,Store,Active,717,524764,5
